artist,song
Stein,Nnnnnnnnnnnnnnnnnnnnnnnnnnnnn
​guardin,Beware (Big Sean Cover)
Chance the Rapper,Bombs Away
Jhené Aiko,B.S.
Lil Wayne,I Do It
Ariana Grande,​right there (live)
Mayaano,Rolla (prod by chopa)
Jhené Aiko,None of Your Concern
Jhené Aiko,None of Your Concern [Single Version]
Big Sean,Big Sean Freestyles on Flex (2019) | Freestyle #131
Kanskaart,I Don’t Fuck With Kahoot
Big Sean,Bezerk
Big Sean,Single Again
Big Sean,Overtime
Kash Doll,Ready Set
Big Sean,Done For Me
DJ Khaled,Jealous
DJ Khaled,Thank You
Beyoncé,Crazy in Love (Homecoming Live)
Big Sean,Dreamville Festival 2019 Freestyle
Big Sean,More Thoughts*
Rich The Kid,Two Cups
Ariana Grande,Right There/You’ll Never Know/Break Your Heart Right Back
Rich Homie Quan,Fuck The World Shit
Icewear Vezzo,Balance
PARTYNEXTDOOR,Squad
Big Sean,Full Circle
Big Sean,Handle Me
Kanye West,Hurricane (80 Degrees) [Full Version]
Lil Wayne,Mute
YG,BIG BANK
Fat Joe & Dre,Momma
Halsey,Alone (Clean Bandit MFF Remix)
Halsey,Alone (CID Remix)
"Mike WiLL Made-It, Big Sean & Rae Sremmurd","Aries (YuGo), Pt. 2"
Halsey,Alone (Remix)
Logic,Wassup
Big Bushgi,Bill$ ft. Big Sean
Migos,White Sand
"Mike WiLL Made-It, Big Sean & Rae Sremmurd",Aries (YuGo) Part 2 (Demo)
GASHI,You Know
Big Sean & Metro Boomin,So Good
Big Sean & Metro Boomin,In Tune
Big Sean & Metro Boomin,"No Hearts, No Love"
Big Sean & Metro Boomin,Go Legend
Big Sean & Metro Boomin,Even the Odds
Big Sean & Metro Boomin,Reason
Big Sean & Metro Boomin,Who’s Stopping Me
Big Sean & Metro Boomin,Big Bidness
Big Sean & Metro Boomin,Savage Time
Fifth Harmony,Feels
Big Sean & Metro Boomin,Pull Up N Wreck
Lord Twinkletoes,Bad Girl
Yamine,Take That
​ryan christopher,​moments
Jhené Aiko,Moments
Jhené Aiko,OLLA (Only Lovers Left Alive)
Gucci Mane,Changed
A$AP Mob,Frat Rules
Philip Pevensie,Don’t Kill My Vibe
Coldplay,Miracles (Someone Special)
DJ Khaled,On Everything
AlcoPollock,Workin’ Remix
Calvin Harris,Feels
Desiigner,Liife (Remix)
Bryson Tiller,Money Problems / Benz Truck
Marian Hill,Down (Remix)
